month,month_index,region,period_type,budget_revenue,outlook_revenue,budget_ebitda,outlook_ebitda,outlook_margin,free_cash_flow,nwc_days
Jan 2026,1,North America,Actual,21.204,21.347,4.75,4.907,0.2299,3.144,47.0
Jan 2026,1,EMEA,Actual,14.795,14.361,2.929,2.771,0.193,1.688,59.0
Jan 2026,1,APAC,Actual,10.87,11.28,1.967,1.997,0.177,1.135,65.0
Jan 2026,1,Latin America,Actual,6.767,6.492,1.123,1.01,0.1556,0.567,73.0
Feb 2026,2,North America,Actual,21.665,22.008,4.853,5.043,0.2292,3.229,47.0
Feb 2026,2,EMEA,Actual,15.117,14.903,2.993,2.832,0.19,1.717,59.0
Feb 2026,2,APAC,Actual,11.106,11.418,2.01,2.041,0.1787,1.165,65.0
Feb 2026,2,Latin America,Actual,6.914,6.646,1.148,1.027,0.1545,0.575,73.0
Mar 2026,3,North America,Actual,23.048,23.403,5.163,5.335,0.228,3.412,47.0
Mar 2026,3,EMEA,Actual,16.082,15.891,3.184,3.056,0.1923,1.859,59.0
Mar 2026,3,APAC,Actual,11.815,12.184,2.139,2.158,0.1771,1.227,65.0
Mar 2026,3,Latin America,Actual,7.355,7.131,1.221,1.105,0.1549,0.619,73.0
Apr 2026,4,North America,Actual,22.587,22.635,5.059,5.13,0.2266,3.276,47.0
Apr 2026,4,EMEA,Actual,15.76,15.258,3.12,2.932,0.1922,1.784,59.0
Apr 2026,4,APAC,Actual,11.579,11.809,2.096,2.117,0.1793,1.21,65.0
Apr 2026,4,Latin America,Actual,7.208,6.861,1.197,1.075,0.1566,0.605,73.0
May 2026,5,North America,Actual,23.509,23.51,5.266,5.403,0.2298,3.462,47.0
May 2026,5,EMEA,Actual,16.403,16.039,3.248,3.078,0.1919,1.872,59.0
May 2026,5,APAC,Actual,12.052,12.376,2.181,2.222,0.1795,1.27,65.0
May 2026,5,Latin America,Actual,7.503,7.173,1.245,1.126,0.157,0.634,73.0
Jun 2026,6,North America,Actual,23.97,24.293,5.369,5.557,0.2288,3.557,47.0
Jun 2026,6,EMEA,Actual,16.725,16.007,3.312,3.079,0.1923,1.874,59.0
Jun 2026,6,APAC,Actual,12.288,12.429,2.224,2.219,0.1786,1.266,65.0
Jun 2026,6,Latin America,Actual,7.65,7.317,1.27,1.141,0.156,0.641,73.0
Jul 2026,7,North America,Forecast,22.357,22.636,5.008,5.166,0.2282,3.304,47.0
Jul 2026,7,EMEA,Forecast,15.599,15.397,3.089,2.962,0.1924,1.802,59.0
Jul 2026,7,APAC,Forecast,11.461,11.906,2.074,2.139,0.1796,1.223,65.0
Jul 2026,7,Latin America,Forecast,7.135,6.894,1.184,1.075,0.1559,0.604,73.0
Aug 2026,8,North America,Forecast,22.818,23.054,5.111,5.296,0.2297,3.393,47.0
Aug 2026,8,EMEA,Forecast,15.921,15.394,3.152,2.968,0.1928,1.807,59.0
Aug 2026,8,APAC,Forecast,11.697,12.052,2.117,2.133,0.1769,1.212,65.0
Aug 2026,8,Latin America,Forecast,7.282,6.925,1.209,1.086,0.1569,0.612,73.0
Sep 2026,9,North America,Forecast,23.739,24.113,5.318,5.491,0.2277,3.51,47.0
Sep 2026,9,EMEA,Forecast,16.564,16.176,3.28,3.066,0.1895,1.857,59.0
Sep 2026,9,APAC,Forecast,12.17,12.523,2.203,2.237,0.1786,1.276,65.0
Sep 2026,9,Latin America,Forecast,7.576,7.24,1.258,1.14,0.1574,0.643,73.0
Oct 2026,10,North America,Forecast,24.2,24.905,5.421,5.654,0.227,3.612,47.0
Oct 2026,10,EMEA,Forecast,16.886,16.736,3.343,3.167,0.1893,1.918,59.0
Oct 2026,10,APAC,Forecast,12.406,12.767,2.245,2.273,0.178,1.295,65.0
Oct 2026,10,Latin America,Forecast,7.723,7.534,1.282,1.181,0.1567,0.664,73.0
Nov 2026,11,North America,Forecast,24.892,25.264,5.576,5.807,0.2298,3.72,47.0
Nov 2026,11,EMEA,Forecast,17.368,16.981,3.439,3.222,0.1897,1.953,59.0
Nov 2026,11,APAC,Forecast,12.76,13.231,2.31,2.332,0.1763,1.324,65.0
Nov 2026,11,Latin America,Forecast,7.944,7.665,1.319,1.187,0.1548,0.665,73.0
Dec 2026,12,North America,Forecast,26.736,27.399,5.989,6.23,0.2274,3.982,47.0
Dec 2026,12,EMEA,Forecast,18.655,18.358,3.694,3.495,0.1904,2.12,59.0
Dec 2026,12,APAC,Forecast,13.706,14.179,2.481,2.533,0.1786,1.445,65.0
Dec 2026,12,Latin America,Forecast,8.532,8.234,1.416,1.286,0.1561,0.722,73.0
